District,U/R,CPN,Discp.
HYDERABAD,U,75.98,ME
HYDERABAD,U,75.855,CH
HYDERABAD,U,75.8,SW
HYDERABAD,U,75.687,EL
HYDERABAD,U,75.555,EL
HYDERABAD,U,75.263,EL
HYDERABAD,U,75.112,CE
HYDERABAD,U,75.09,CE
HYDERABAD,U,74.947,SW
HYDERABAD,U,74.84100000000001,CE
HYDERABAD,U,74.836,EL
HYDERABAD,U,74.79899999999999,EL
HYDERABAD,U,74.706,MTE
HYDERABAD,U,74.684,BM
HYDERABAD,U,74.514,CH
HYDERABAD,U,74.443,SW
HYDERABAD,U,74.351,ES
HYDERABAD,U,74.34899999999999,ES
HYDERABAD,U,74.139,CS
HYDERABAD,U,74.066,ES
HYDERABAD,U,74.017,ES
HYDERABAD,U,73.991,ES
HYDERABAD,U,73.96,TE
HYDERABAD,U,73.82,ES
HYDERABAD,U,73.793,CS
HYDERABAD,U,73.751,CS
HYDERABAD,U,73.745,CS
HYDERABAD,U,73.735,CS
HYDERABAD,U,73.48899999999999,MTE
HYDERABAD,U,73.283,TL
HYDERABAD,U,73.25399999999999,MTE
HYDERABAD,U,72.979,TL
HYDERABAD,U,72.749,TL
HYDERABAD,U,72.729,TL
HYDERABAD,U,72.521,PG
HYDERABAD,U,72.457,TL
HYDERABAD,U,72.311,AR
HYDERABAD,U,72.234,AR
HYDERABAD,U,72.197,BM
HYDERABAD,U,72.051,TE
HYDERABAD,U,71.426,EL-K
HYDERABAD,U,71.2,IN
HYDERABAD,U,71.193,IN
HYDERABAD,U,71.083,TE
HYDERABAD,U,70.98,CE-K
HYDERABAD,U,70.937,TE
HYDERABAD,U,70.91,IN
HYDERABAD,U,70.789,CRP
HYDERABAD,U,70.767,MN
HYDERABAD,U,70.71,EE
HYDERABAD,U,70.695,ME-K
HYDERABAD,U,70.61,ME-K
HYDERABAD,U,70.583,CRP
HYDERABAD,U,70.545,CRP
HYDERABAD,U,70.479,CRP
HYDERABAD,U,70.378,ES-K
HYDERABAD,U,70.243,SW-K
HYDERABAD,U,70.226,CE-K
HYDERABAD,U,70.047,EL-K
HYDERABAD,R,82.171,CE
HYDERABAD,R,78.85,SW
HYDERABAD,R,77.958,ME
HYDERABAD,R,77.21,ME
HYDERABAD,R,76.301,CE
HYDERABAD,R,75.67699999999999,EL
HYDERABAD,R,73.544,PG
HYDERABAD,R,72.108,MT
HYDERABAD,R,71.687,AR
HYDERABAD,R,71.637,EE
HYDERABAD,R,71.411,TE
HYDERABAD,R,70.12,MN
HYDERABAD,R,69.04899999999999,MN
HYDERABAD,R,68.40100000000001,CRP
HYDERABAD,R,67.418,PG-K
HYDERABAD,R,66.137,MN
HYDERABAD,R,65.891,SW-K
JACOBABAD,U,71.691,CH
JACOBABAD,U,65.536,PG-K
JACOBABAD,U,63.873999999999995,BM
JACOBABAD,U,63.376000000000005,CRP
JACOBABAD,U,62.431999999999995,IN
JACOBABAD,U,61.052,SW-K
JACOBABAD,U,60.567,SW-K
JACOBABAD,R,84.89299999999999,CE
JACOBABAD,R,75.013,EL
JACOBABAD,R,73.134,ME
JACOBABAD,R,71.458,CE-K
JACOBABAD,R,71.45,CE-K
JACOBABAD,R,71.361,CS
JACOBABAD,R,69.656,EL-K
JACOBABAD,R,69.64,ES
