District,U/R,CPN,Discp.
2,1,77.958,3
2,1,77.21,3
2,1,76.301,7
2,1,75.67699999999998,4
2,1,73.544,18
2,1,72.108,19
2,1,71.687,13
2,1,71.637,24
2,1,71.411,8
2,1,70.12,17
2,1,69.04899999999999,17
2,1,68.40100000000001,14
2,1,67.418,10
2,1,66.137,17
2,1,65.891,21
14,2,71.691,16
14,2,65.536,10
14,2,63.874,22
14,2,63.37600000000001,14
14,2,62.432,15
14,2,61.052,21
14,2,60.567,21
14,1,84.89299999999999,7
14,1,75.013,4
14,1,73.134,3
14,1,71.458,12
14,1,71.45,12
14,1,71.361,5
14,1,69.656,9
14,1,69.64,6
14,1,69.637,23
14,1,69.619,6
14,1,69.547,9
14,1,69.523,11
14,1,69.236,16
14,1,69.182,11
14,1,69.031,18
14,1,68.243,11
14,1,67.98899999999999,18
14,1,67.813,1
14,1,67.389,2
14,1,67.283,20
14,1,66.851,20
14,1,66.691,10
14,1,66.404,24
14,1,66.139,8
14,1,65.939,5
14,1,65.86,1
14,1,65.669,2
14,1,65.247,13
14,1,64.414,13
14,1,64.288,19
14,1,63.88800000000001,15
14,1,63.88399999999999,14
14,1,63.595,17
14,1,63.58,8
17,2,82.375,3
17,2,74.067,4
17,2,74.04899999999998,1
17,1,79.28399999999998,7
17,1,79.207,7
17,1,76.751,7
17,1,75.891,6
17,1,74.545,4
17,1,73.318,4
17,1,72.52,3
17,1,71.722,3
17,1,70.774,1
17,1,70.661,6
17,1,70.447,5
17,1,69.70100000000001,6
17,1,69.48899999999999,16
17,1,69.262,5
17,1,68.9,5
17,1,68.572,2
17,1,68.335,22
17,1,68.22800000000001,23
17,1,68.202,2
17,1,68.20100000000001,2
17,1,66.833,8
17,1,66.818,8
17,1,66.719,20
17,1,66.679,13
17,1,66.628,12
17,1,66.445,9
17,1,66.116,18
17,1,66.006,13
17,1,65.861,15
17,1,65.572,19
17,1,65.109,10
17,1,64.99,17
17,1,64.684,14
15,2,79.02199999999998,5
15,2,74.348,12
15,2,72.938,9
15,1,81.605,7
15,1,81.551,4
15,1,80.92699999999998,3
15,1,79.381,16
15,1,76.936,1
15,1,76.73,12
15,1,76.611,23
15,1,76.6,13
15,1,76.35600000000002,6
15,1,76.34,6
15,1,75.936,18
15,1,75.848,5
15,1,75.798,1
15,1,75.433,18
15,1,74.91199999999998,16
15,1,74.419,2
15,1,73.30199999999998,9
15,1,72.986,2
15,1,72.888,24
15,1,72.21,9
15,1,72.187,19
15,1,72.157,19
15,1,72.002,22
15,1,71.645,11
15,1,71.562,20
15,1,71.512,11
15,1,71.365,11
15,1,71.355,21
15,1,71.304,8
15,1,70.834,20
15,1,70.499,13
15,1,70.063,10
15,1,70.0,17
15,1,69.796,21
15,1,69.065,8
15,1,69.04899999999999,14
15,1,68.78,14
15,1,68.715,10
24,2,81.205,11
24,2,78.653,1
24,2,76.757,6
24,2,76.479,1
24,2,75.641,16
24,2,73.904,16
24,2,72.589,6
24,2,71.52600000000002,2
24,2,70.702,22
24,2,70.358,15
24,2,70.104,12
24,2,69.063,2
24,2,68.73100000000001,13
24,2,68.336,8
24,2,67.96600000000001,5
24,2,67.943,15
24,2,67.525,21
24,2,67.42399999999999,15
24,2,67.161,8
24,2,67.14699999999999,19
24,2,66.982,10
24,2,66.936,17
24,2,66.652,19
24,2,66.57,17
23,2,76.38600000000002,9
23,2,69.46300000000001,22
23,2,67.317,21
23,2,64.811,14
23,1,86.042,3
23,1,81.882,4
23,1,79.352,12
23,1,76.758,12
23,1,74.829,6
23,1,74.69,9
23,1,74.104,11
23,1,73.665,18
23,1,73.553,20
23,1,73.32600000000002,1
23,1,73.125,20
23,1,73.04899999999998,1
23,1,72.372,10
23,1,71.98899999999998,19
23,1,70.297,15
23,1,69.938,5
23,1,69.694,13
23,1,69.439,2
23,1,68.744,17
23,1,67.863,8
3,2,79.516,4
3,2,76.862,6
3,2,74.508,1
3,2,74.10600000000002,17
3,2,73.123,15
3,2,72.734,21
3,2,72.561,21
3,2,72.38600000000002,20
3,2,72.184,20
3,2,72.054,21
3,2,71.97399999999998,21
3,1,82.005,7
3,1,80.26899999999998,7
3,1,80.03699999999998,4
3,1,78.971,3
3,1,78.956,12
3,1,78.829,3
3,1,78.083,12
3,1,77.797,15
3,1,77.753,16
3,1,77.51100000000002,12
3,1,77.421,6
3,1,77.301,12
3,1,77.273,1
3,1,76.563,6
3,1,75.888,16
3,1,75.884,16
3,1,75.61399999999998,9
3,1,75.525,18
3,1,75.458,12
3,1,75.391,12
3,1,75.373,1
3,1,75.34,5
3,1,75.222,9
3,1,75.141,9
3,1,74.805,1
3,1,74.794,9
3,1,74.587,18
3,1,74.53,11
3,1,74.518,18
3,1,74.248,9
3,1,73.99,9
3,1,73.94800000000002,15
3,1,73.908,11
3,1,73.892,9
3,1,73.795,5
3,1,73.503,11
3,1,73.43,11
3,1,73.403,11
3,1,73.314,5
3,1,73.29,14
3,1,73.26,11
3,1,73.164,11
3,1,73.16,2
3,1,72.682,2
3,1,72.567,20
3,1,72.425,22
3,1,72.39,20
3,1,72.204,10
3,1,72.065,20
3,1,72.063,10
3,1,72.02,24
3,1,71.873,10
3,1,71.85300000000002,19
3,1,71.791,21
3,1,71.676,10
3,1,71.59899999999998,10
3,1,71.571,10
3,1,71.567,13
3,1,71.456,13
3,1,71.418,13
3,1,71.375,14
3,1,71.24,2
3,1,71.123,2
3,1,71.013,14
3,1,70.913,19
3,1,70.748,17
3,1,70.626,8
3,1,70.514,8
3,1,70.38,8
12,2,84.65899999999998,7
12,2,84.26100000000002,4
12,2,79.021,5
12,2,77.842,1
12,2,77.69,12
12,2,77.347,5
12,2,77.278,1
12,2,75.703,9
12,2,75.696,18
12,2,74.548,24
12,2,74.52199999999998,19
12,2,74.36,11
12,2,74.10300000000002,11
12,2,72.472,21
12,1,82.111,12
12,1,81.921,3
12,1,81.402,6
12,1,79.202,6
12,1,78.669,12
12,1,78.358,16
12,1,77.768,1
12,1,77.255,23
12,1,76.791,9
12,1,76.26899999999998,16
12,1,76.148,18
12,1,76.082,11
12,1,75.595,2
12,1,74.642,9
12,1,73.627,20
12,1,73.544,20
12,1,72.281,17
12,1,72.072,2
12,1,70.91,15
12,1,70.778,14
12,1,70.705,15
12,1,70.612,13
12,1,70.507,22
12,1,70.488,13
12,1,70.337,10
12,1,70.289,10
12,1,70.153,14
12,1,69.775,19
12,1,69.684,8
12,1,69.27,21
12,1,69.219,8
12,1,69.097,17
22,2,77.96,7
22,2,77.402,3
22,1,79.22399999999998,7
22,1,77.839,22
22,1,74.167,22
22,1,73.134,4
22,1,72.719,4
22,1,72.449,18
22,1,72.093,6
22,1,71.986,6
22,1,71.381,1
22,1,71.233,1
22,1,70.91,13
22,1,70.673,5
22,1,68.983,23
22,1,68.22800000000001,15
22,1,67.695,13
22,1,66.373,11
22,1,66.17,16
22,1,65.678,2
22,1,65.627,19
22,1,65.566,15
22,1,65.565,2
22,1,64.673,14
22,1,64.435,24
22,1,62.667,17
22,1,62.048,10
7,2,77.308,3
7,2,76.914,3
7,2,76.764,4
7,2,73.176,1
7,2,72.955,4
7,2,72.03699999999998,5
7,2,71.279,3
7,2,70.955,5
7,2,70.851,6
7,2,70.46600000000002,5
7,2,70.36,5
7,2,69.72,20
7,2,68.766,11
7,1,81.765,7
7,1,80.444,7
7,1,79.594,6
7,1,78.558,4
7,1,74.934,4
7,1,74.26100000000002,3
7,1,74.01899999999998,1
7,1,73.54899999999998,4
7,1,73.446,22
7,1,72.666,3
7,1,72.41,7
7,1,72.319,7
7,1,72.22399999999998,22
7,1,72.145,7
7,1,71.925,3
7,1,71.61399999999998,4
7,1,71.40899999999998,23
7,1,71.374,1
7,1,71.199,23
7,1,71.118,1
7,1,70.805,6
7,1,69.995,13
7,1,69.77,12
7,1,69.76100000000001,13
7,1,69.22,18
7,1,68.866,16
7,1,68.755,16
7,1,68.562,14
7,1,68.047,8
7,1,67.99,19
7,1,67.875,2
7,1,67.813,2
7,1,67.796,2
7,1,67.733,8
7,1,67.676,24
7,1,67.305,24
7,1,67.235,8
7,1,66.99600000000001,17
7,1,66.829,15
7,1,66.547,15
7,1,66.52,9
7,1,66.337,14
7,1,66.197,17
7,1,65.695,14
7,1,65.525,10
7,1,65.462,21
9,2,81.06,3
9,2,75.03399999999998,1
9,2,71.771,10
9,1,83.259,7
9,1,82.45700000000002,4
9,1,81.681,4
9,1,79.982,6
9,1,79.572,12
9,1,78.973,12
9,1,77.958,12
9,1,77.806,6
9,1,77.785,16
9,1,77.765,6
9,1,77.656,12
9,1,77.486,16
9,1,76.672,5
9,1,75.73,9
9,1,75.43,18
9,1,75.393,11
9,1,75.222,1
9,1,75.217,11
9,1,75.178,11
9,1,74.999,18
9,1,74.781,1
9,1,74.333,9
9,1,74.149,17
9,1,73.748,11
9,1,73.721,9
9,1,73.691,5
9,1,73.63,9
9,1,73.181,23
9,1,73.17399999999998,13
9,1,72.962,20
9,1,72.778,10
9,1,72.548,2
9,1,72.219,2
9,1,71.959,2
9,1,71.727,21
9,1,71.57300000000002,14
9,1,71.274,24
9,1,71.178,20
9,1,71.171,22
9,1,71.138,17
9,1,71.035,15
9,1,70.964,21
9,1,70.90100000000002,15
9,1,70.71,10
9,1,70.678,10
9,1,70.345,21
9,1,70.26,8
9,1,69.916,8
9,1,69.773,19
9,1,69.547,19
10,2,78.932,13
10,2,78.416,6
10,2,74.719,5
10,2,73.82600000000002,18
10,2,73.726,23
10,2,72.52600000000002,9
10,2,72.097,21
10,2,71.926,11
10,1,81.50399999999998,7
10,1,80.699,4
10,1,79.83,3
10,1,79.712,12
10,1,78.263,6
10,1,78.04,5
10,1,76.896,1
10,1,76.747,1
10,1,76.472,6
10,1,76.19,8
10,1,75.964,16
10,1,75.81,12
10,1,75.741,1
10,1,74.92699999999998,16
10,1,74.911,2
10,1,74.492,2
10,1,74.03,12
10,1,73.266,9
10,1,72.744,17
10,1,71.757,2
10,1,71.505,12
10,1,71.21,18
10,1,70.72,9
10,1,70.583,24
10,1,70.426,10
10,1,70.07600000000001,9
10,1,69.81,13
10,1,69.64399999999999,17
10,1,69.571,11
10,1,69.515,11
10,1,69.509,15
10,1,69.38600000000001,20
10,1,69.28399999999999,20
10,1,67.933,8
10,1,67.747,15
10,1,67.55,14
10,1,67.541,10
10,1,67.493,10
10,1,67.492,10
10,1,67.242,14
10,1,67.098,21
10,1,66.885,22
10,1,66.78399999999999,19
10,1,66.676,21
1,2,78.617,4
1,2,77.828,1
1,2,76.842,1
1,2,74.60600000000002,3
1,2,72.971,3
1,2,72.165,4
1,2,70.3,1
1,2,69.042,1
1,2,68.757,5
1,2,68.145,5
1,2,67.955,1
1,2,67.555,6
1,2,66.809,23
1,2,66.52199999999999,18
1,2,65.271,12
