District,U/R,CPN,Discp.
Hyderabad,U,76.431,ME
Hyderabad,U,76.187,AR
Hyderabad,U,76.033,TL
Hyderabad,U,75.980,ME
Hyderabad,U,75.855,CH
Hyderabad,U,75.800,SW
Hyderabad,U,75.687,EL
Hyderabad,U,75.555,EL
Hyderabad,U,75.263,EL
Hyderabad,U,75.112,CE
Hyderabad,U,75.090,CE
Hyderabad,U,74.947,SW
Hyderabad,U,74.841,CE
Hyderabad,U,74.836,EL
Hyderabad,U,74.799,EL
Hyderabad,U,74.706,MTE
Hyderabad,U,74.684,BM
Hyderabad,U,74.514,CH
Hyderabad,U,74.443,SW
Hyderabad,U,74.351,ES
Hyderabad,U,74.349,ES
Hyderabad,U,74.139,CS
Hyderabad,U,74.066,ES
Hyderabad,U,74.017,ES
Hyderabad,U,73.991,ES
Hyderabad,U,73.960,TE
Hyderabad,U,73.943,CS-P
Hyderabad,U,73.820,ES
Hyderabad,U,73.793,CS
Hyderabad,U,73.751,CS
Hyderabad,U,73.745,CS
Hyderabad,U,73.735,CS
Hyderabad,U,73.574,PG-P
Hyderabad,U,73.527,EE-P
Hyderabad,U,73.513,TL-P
Hyderabad,U,73.489,MTE
Hyderabad,U,73.283,TL
Hyderabad,U,73.254,MTE
Hyderabad,U,72.979,TL
Hyderabad,U,72.749,TL
Hyderabad,U,72.729,TL
Hyderabad,U,72.521,PG
Hyderabad,U,72.457,TL
Hyderabad,U,72.311,AR
Hyderabad,U,72.234,AR
Hyderabad,U,72.197,BM
Hyderabad,U,72.051,TE
Hyderabad,U,71.617,MT-P
Hyderabad,U,71.489,IN-P
Hyderabad,U,71.426,EL-K
Hyderabad,U,71.200,IN
Hyderabad,U,71.193,IN
Hyderabad,U,71.083,TE
Hyderabad,U,70.980,CE-K
Hyderabad,U,70.937,TE
Hyderabad,U,70.910,IN
Hyderabad,U,70.789,CRP
Hyderabad,U,70.767,MN
Hyderabad,U,70.710,EE
Hyderabad,U,70.695,ME-K
Hyderabad,U,70.610,ME-K
Hyderabad,U,70.583,CRP
Hyderabad,U,70.545,CRP
Hyderabad,U,70.506,MT-P
Hyderabad,U,70.479,CRP
Hyderabad,U,70.378,ES-K
Hyderabad,U,70.243,SW-K
Hyderabad,U,70.226,CE-K
Hyderabad,U,70.047,EL-K
Hyderabad,R,82.171,CE
Hyderabad,R,78.850,SW
Hyderabad,R,77.958,ME
Hyderabad,R,77.210,ME
Hyderabad,R,76.301,CE
Hyderabad,R,75.677,EL
Hyderabad,R,73.544,PG
Hyderabad,R,72.108,MT
Hyderabad,R,71.687,AR
Hyderabad,R,71.637,EE
Hyderabad,R,71.411,TE
Hyderabad,R,70.120,MN
Hyderabad,R,69.049,MN
Hyderabad,R,68.401,CRP
Hyderabad,R,67.418,PG-K
Hyderabad,R,66.137,MN
Hyderabad,R,65.891,SW-K
Jacobabad,U,71.691,CH
Jacobabad,U,65.536,PG-K
Jacobabad,U,63.874,BM
Jacobabad,U,63.376,CRP
Jacobabad,U,62.432,IN
Jacobabad,U,61.052,SW-K
Jacobabad,U,60.567,SW-K
Jacobabad,R,84.893,CE
Jacobabad,R,75.013,EL
Jacobabad,R,73.134,ME
Jacobabad,R,72.473,EL-K-P
Jacobabad,R,71.458,CE-K
Jacobabad,R,71.450,CE-K
Jacobabad,R,71.361,CS
Jacobabad,R,69.656,EL-K
Jacobabad,R,69.640,ES
Jacobabad,R,69.637,MTE
Jacobabad,R,69.619,ES
Jacobabad,R,69.547,EL-K
Jacobabad,R,69.523,ME-K
Jacobabad,R,69.236,CH
Jacobabad,R,69.182,ME-K
Jacobabad,R,69.031,PG
Jacobabad,R,68.243,ME-K
Jacobabad,R,67.989,PG
Jacobabad,R,67.813,SW
Jacobabad,R,67.389,TL
Jacobabad,R,67.283,ES-K
Jacobabad,R,66.851,ES-K
Jacobabad,R,66.691,PG-K
Jacobabad,R,66.404,EE
Jacobabad,R,66.139,TE
Jacobabad,R,65.939,CS
Jacobabad,R,65.860,SW
Jacobabad,R,65.669,Tl
Jacobabad,R,65.247,AR
Jacobabad,R,64.414,AR
Jacobabad,R,64.288,MT
Jacobabad,R,63.888,IN
Jacobabad,R,63.884,CRP
Jacobabad,R,63.595,MN
Jacobabad,R,63.580,TE
Jamshoro,U,82.375,ME
Jamshoro,U,74.067,EL
Jamshoro,U,74.049,SW
Jamshoro,R,79.284,CE
Jamshoro,R,79.207,CE
Jamshoro,R,76.751,CE
Jamshoro,R,75.891,ES
Jamshoro,R,74.545,EL
Jamshoro,R,73.318,EL
Jamshoro,R,72.520,ME
Jamshoro,R,71.722,ME
Jamshoro,R,70.774,SW
Jamshoro,R,70.661,ES
Jamshoro,R,70.447,CS
Jamshoro,R,70.017,BM-P
Jamshoro,R,69.701,ES
Jamshoro,R,69.564,PG-P
Jamshoro,R,69.489,CH
Jamshoro,R,69.262,CS
Jamshoro,R,68.900,CS
Jamshoro,R,68.572,TL
Jamshoro,R,68.335,BM
Jamshoro,R,68.228,MTE
Jamshoro,R,68.202,TL
Jamshoro,R,68.201,TL
Jamshoro,R,67.402,EE-P
Jamshoro,R,66.957,SW-K-P
Jamshoro,R,66.833,TE
Jamshoro,R,66.818,TE
Jamshoro,R,66.719,ES-K
Jamshoro,R,66.679,AR
Jamshoro,R,66.628,CE-K
Jamshoro,R,66.445,EL-K
Jamshoro,R,66.116,PG
Jamshoro,R,66.006,AR
Jamshoro,R,65.861,IN
Jamshoro,R,65.572,MT
Jamshoro,R,65.109,PG-K
Jamshoro,R,64.990,MN
Jamshoro,R,64.684,CRP
Jamshoro,R,64.522,CRP-P
Kambar,U,79.022,CS
Kambar,U,74.348,CE-K
Kambar,U,72.938,EL-K
Kambar,U,72.534,IN-P
Kambar,R,81.605,CE
Kambar,R,81.551,EL
Kambar,R,80.927,ME
Kambar,R,79.381,CH
Kambar,R,76.936,SW
Kambar,R,76.730,CE-K
Kambar,R,76.611,MTE
Kambar,R,76.600,AR
Kambar,R,76.356,ES
Kambar,R,76.340,ES
Kambar,R,75.936,PG
Kambar,R,75.848,CS
Kambar,R,75.798,SW
Kambar,R,75.433,PG
Kambar,R,74.912,CH
Kambar,R,74.419,TL
Kambar,R,73.302,EL-K
Kambar,R,72.986,TL
Kambar,R,72.888,EE
Kambar,R,72.210,EL-K
Kambar,R,72.187,MT
Kambar,R,72.157,MT
Kambar,R,72.002,BM
Kambar,R,71.645,ME-K
Kambar,R,71.562,ES-K
Kambar,R,71.512,ME-K
Kambar,R,71.365,ME-K
Kambar,R,71.355,SW-K
Kambar,R,71.304,TE
